candidate,electorate,party,progress
Claude HASTIR,Brindabella,SUSTAINABLE AUSTRALIA (ACT),"[251.0, 251.0, 251.0, 253.0, 253.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Melissa KEMP,Brindabella,SUSTAINABLE AUSTRALIA (ACT),"[446.0, 446.0, 448.0, 448.0, 450.0, 579.0, 581.0, 625.0, 627.0, 630.0, 642.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Andrew WALL,Brindabella,CANBERRA LIBERALS,"[5614.0, 5614.0, 5615.0, 5619.0, 5626.0, 5642.0, 5654.0, 5673.0, 5682.0, 5688.0, 5692.0, 5744.0, 5781.0, 5817.0, 5827.0, 5875.0, 6284.0, 6320.0, 6500.0, 6538.0, 6585.0, 7811.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0, 7806.0]"
Annette FAZEY-SOUTHWELL,Brindabella,CANBERRA LIBERALS,"[1669.0, 1669.0, 1669.0, 1672.0, 1674.0, 1687.0, 1696.0, 1701.0, 1704.0, 1707.0, 1708.0, 1731.0, 1751.0, 1764.0, 1768.0, 1788.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Ed COCKS,Brindabella,CANBERRA LIBERALS,"[3195.0, 3195.0, 3202.0, 3203.0, 3207.0, 3218.0, 3225.0, 3233.0, 3238.0, 3243.0, 3251.0, 3279.0, 3300.0, 3333.0, 3345.0, 3386.0, 3702.0, 3717.0, 3851.0, 3894.0, 3936.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Mark PARTON,Brindabella,CANBERRA LIBERALS,"[4962.0, 4962.0, 4965.0, 4967.0, 4971.0, 4976.0, 4982.0, 5001.0, 5006.0, 5010.0, 5013.0, 5052.0, 5101.0, 5126.0, 5135.0, 5185.0, 5540.0, 5558.0, 5715.0, 5762.0, 5803.0, 6787.0, 6789.0, 6898.0, 6898.0, 7414.0, 7414.0, 7524.0, 7524.0, 7794.0, 7910.0, 7806.0]"
Nicole LAWDER,Brindabella,CANBERRA LIBERALS,"[4166.0, 4166.0, 4166.0, 4167.0, 4172.0, 4185.0, 4189.0, 4198.0, 4224.0, 4229.0, 4231.0, 4272.0, 4300.0, 4319.0, 4329.0, 4381.0, 4835.0, 4900.0, 5039.0, 5092.0, 5155.0, 6216.0, 6218.0, 6324.0, 6324.0, 6815.0, 6815.0, 6995.0, 6995.0, 7316.0, 7571.0, 7662.0]"
Robyn SOXSMITH,Brindabella,ANIMAL JUSTICE PARTY,"[474.0, 474.0, 474.0, 479.0, 480.0, 487.0, 493.0, 506.0, 510.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Sarah O'BRIEN,Brindabella,ANIMAL JUSTICE PARTY,"[632.0, 632.0, 632.0, 635.0, 640.0, 645.0, 646.0, 663.0, 666.0, 1017.0, 1031.0, 1137.0, 1154.0, 1173.0, 1197.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Richard TUFFIN,Brindabella,LIKE CANBERRA,"[231.0, 231.0, 232.0, 355.0, 360.0, 361.0, 363.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
