candidate,electorate,party,progress
Timothy FRIEL,Brindabella,LIKE CANBERRA,"[211.0, 211.0, 213.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Angie DRAKE,Brindabella,ACT LABOR,"[2940.0, 2940.0, 2945.0, 2950.0, 2954.0, 2958.0, 2960.0, 2974.0, 2974.0, 2989.0, 3025.0, 3044.0, 3056.0, 3076.0, 3098.0, 3171.0, 3188.0, 3606.0, 3712.0, 3787.0, 4185.0, 4297.0, 4297.0, 5643.0, 5643.0, 6262.0, 6262.0, nan, nan, nan, nan, nan]"
Joy BURCH,Brindabella,ACT LABOR,"[3838.0, 3838.0, 3839.0, 3849.0, 3851.0, 3858.0, 3868.0, 3886.0, 3893.0, 3909.0, 3929.0, 3947.0, 3957.0, 3980.0, 4013.0, 4091.0, 4157.0, 4592.0, 4671.0, 4730.0, 5108.0, 5191.0, 5191.0, 6106.0, 6106.0, 6787.0, 6787.0, 8928.0, 8928.0, 8928.0, 7806.0, 7806.0]"
Karl MAFTOUM,Brindabella,ACT LABOR,"[1871.0, 1871.0, 1873.0, 1875.0, 1875.0, 1877.0, 1881.0, 1890.0, 1893.0, 1897.0, 1903.0, 1914.0, 1919.0, 1929.0, 1939.0, 1957.0, 1963.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Mick GENTLEMAN,Brindabella,ACT LABOR,"[3964.0, 3964.0, 3967.0, 3969.0, 3972.0, 3975.0, 3978.0, 3992.0, 3998.0, 4001.0, 4011.0, 4034.0, 4052.0, 4077.0, 4106.0, 4157.0, 4178.0, 4619.0, 4764.0, 4837.0, 5157.0, 5229.0, 5229.0, 6398.0, 6398.0, 7066.0, 7066.0, 9867.0, 9867.0, 7806.0, 7806.0, 7806.0]"
Taimus WERNER-GIBBINGS,Brindabella,ACT LABOR,"[3131.0, 3131.0, 3133.0, 3138.0, 3145.0, 3148.0, 3154.0, 3171.0, 3175.0, 3177.0, 3193.0, 3213.0, 3219.0, 3237.0, 3257.0, 3309.0, 3320.0, 3654.0, 3780.0, 3814.0, 4162.0, 4220.0, 4220.0, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Greg RENET,Brindabella,LIBERAL DEMOCRATS,"[261.0, 261.0, 289.0, 289.0, 331.0, 333.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Jacob GOWOR,Brindabella,LIBERAL DEMOCRATS,"[256.0, 256.0, 291.0, 291.0, 351.0, 351.0, 461.0, 464.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Matt DONNELLY,Brindabella,LIBERAL DEMOCRATS,"[284.0, 284.0, 316.0, 317.0, 373.0, 374.0, 479.0, 482.0, 822.0, 823.0, 824.0, 835.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Matt STRASCHKO,Brindabella,LIBERAL DEMOCRATS,"[169.0, 169.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Vera SARAGIH,Brindabella,LIBERAL DEMOCRATS,"[205.0, 205.0, 232.0, 233.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Ben MURPHY,Brindabella,THE GREENS,"[590.0, 590.0, 595.0, 597.0, 603.0, 606.0, 609.0, 612.0, 618.0, 620.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Johnathan DAVIS,Brindabella,THE GREENS,"[684.0, 684.0, 685.0, 685.0, 690.0, 691.0, 694.0, 706.0, 709.0, 713.0, 924.0, 958.0, 990.0, 996.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Michael MAZENGARB,Brindabella,THE GREENS,"[1125.0, 1125.0, 1126.0, 1130.0, 1132.0, 1137.0, 1140.0, 1154.0, 1162.0, 1176.0, 1388.0, 1422.0, 1438.0, 1457.0, 2173.0, 2341.0, 2361.0, 2418.0, 2591.0, 2646.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Monique SHEPHERD,Brindabella,AUSTRALIAN SEX PARTY ACT,"[1623.0, 1623.0, 1625.0, 1629.0, 1633.0, 1636.0, 1642.0, 1674.0, 1685.0, 1696.0, 1726.0, 1762.0, 1795.0, 1821.0, 1867.0, 2074.0, 2088.0, 2130.0, 2355.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Steven BAILEY,Brindabella,AUSTRALIAN SEX PARTY ACT,"[2071.0, 2071.0, 2074.0, 2095.0, 2098.0, 2106.0, 2123.0, 2146.0, 2154.0, 2199.0, 2218.0, 2241.0, 2279.0, 2307.0, 2330.0, 2462.0, 2507.0, 2558.0, 2818.0, 4469.0, 4960.0, 5097.0, 5097.0, 5336.0, 5336.0, nan, nan, nan, nan, nan, nan, nan]"
Andrew HOLT,Brindabella,UNGROUPED,"[767.0, 767.0, 767.0, 772.0, 775.0, 778.0, 784.0, 811.0, 815.0, 825.0, 836.0, 891.0, 907.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Joel McKAY,Brindabella,UNGROUPED,"[1200.0, 1200.0, 1202.0, 1205.0, 1206.0, 1207.0, 1211.0, 1245.0, 1248.0, 1250.0, 1253.0, 1312.0, 1332.0, 1904.0, 1922.0, 2035.0, 2056.0, 2076.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
exhausted,Brindabella,nan,"[nan, nan, 4.0, 8.0, 8.0, 15.0, 17.0, 23.0, 27.0, 31.0, 32.0, 42.0, 499.0, 514.0, 524.0, 618.0, 651.0, 682.0, 1034.0, 1261.0, 1779.0, 1982.0, 1982.0, 2318.0, 2318.0, 4679.0, 4679.0, 5709.0, 5709.0, 5709.0, 5709.0, 5709.0]"
Geoff BUCKMASTER,Ginninderra,SUSTAINABLE AUSTRALIA (ACT),"[468.0, 468.0, 468.0, 469.0, 471.0, 473.0, 476.0, 478.0, 483.0, 488.0, 494.0, 503.0, 526.0, 532.0, 538.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Martin TYE,Ginninderra,SUSTAINABLE AUSTRALIA (ACT),"[637.0, 637.0, 637.0, 638.0, 641.0, 643.0, 645.0, 645.0, 649.0, 655.0, 660.0, 668.0, 689.0, 699.0, 709.0, 975.0, 1005.0, 1066.0, 1106.0, 1126.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Chris BOURKE,Ginninderra,ACT LABOR,"[3551.0, 3551.0, 3552.0, 3552.0, 3555.0, 3561.0, 3562.0, 3564.0, 3568.0, 3574.0, 3577.0, 3586.0, 3602.0, 3609.0, 3630.0, 3657.0, 3663.0, 3680.0, 3695.0, 3714.0, 3765.0, 3807.0, 3853.0, 3874.0, 3939.0, 4638.0, 4884.0, nan, nan, nan, nan, nan, nan, nan]"
Gordon RAMSAY,Ginninderra,ACT LABOR,"[3934.0, 3934.0, 3934.0, 3934.0, 3937.0, 3940.0, 3945.0, 3951.0, 3957.0, 3960.0, 3961.0, 3972.0, 3999.0, 4016.0, 4044.0, 4076.0, 4096.0, 4117.0, 4133.0, 4153.0, 4235.0, 4264.0, 4342.0, 4387.0, 4426.0, 5072.0, 5418.0, 6542.0, 6575.0, 6735.0, 6735.0, 6845.0, 6851.0, 8564.0]"
Kim FISCHER,Ginninderra,ACT LABOR,"[3364.0, 3364.0, 3364.0, 3367.0, 3369.0, 3370.0, 3371.0, 3373.0, 3374.0, 3379.0, 3385.0, 3398.0, 3411.0, 3425.0, 3442.0, 3471.0, 3486.0, 3506.0, 3513.0, 3533.0, 3594.0, 3633.0, 3690.0, 3709.0, 3755.0, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Tara CHEYNE,Ginninderra,ACT LABOR,"[3875.0, 3875.0, 3875.0, 3876.0, 3878.0, 3882.0, 3884.0, 3886.0, 3889.0, 3893.0, 3897.0, 3902.0, 3918.0, 3935.0, 3953.0, 3972.0, 3990.0, 4007.0, 4018.0, 4065.0, 4135.0, 4165.0, 4210.0, 4264.0, 4293.0, 5121.0, 5465.0, 6598.0, 6634.0, 6722.0, 6722.0, 6826.0, 6830.0, 9196.0]"
Yvette BERRY,Ginninderra,ACT LABOR,"[4770.0, 4770.0, 4770.0, 4771.0, 4774.0, 4776.0, 4777.0, 4779.0, 4781.0, 4781.0, 4786.0, 4791.0, 4811.0, 4828.0, 4849.0, 4880.0, 4898.0, 4916.0, 4930.0, 4940.0, 4994.0, 5039.0, 5112.0, 5127.0, 5162.0, 5974.0, 6238.0, 7936.0, 7858.0, 7858.0, 7858.0, 7858.0, 7858.0, 7858.0]"
Indra ESGUERRA,Ginninderra,THE GREENS,"[3036.0, 3036.0, 3036.0, 3036.0, 3036.0, 3036.0, 3039.0, 3046.0, 3049.0, 3054.0, 3058.0, 3060.0, 3087.0, 3099.0, 3133.0, 3145.0, 3158.0, 3229.0, 3239.0, 3584.0, 3687.0, 4591.0, 4692.0, 4722.0, 4755.0, 4957.0, 5643.0, 5932.0, 5937.0, 6013.0, 6013.0, 6124.0, 6129.0, 10.0]"
Jason CHAPPEL,Ginninderra,THE GREENS,"[818.0, 818.0, 818.0, 818.0, 819.0, 822.0, 824.0, 827.0, 829.0, 829.0, 833.0, 835.0, 848.0, 855.0, 861.0, 883.0, 899.0, 921.0, 924.0, 1179.0, 1248.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Richard MERZIAN,Ginninderra,THE GREENS,"[719.0, 719.0, 719.0, 721.0, 721.0, 722.0, 722.0, 725.0, 729.0, 733.0, 734.0, 739.0, 755.0, 764.0, 768.0, 772.0, 782.0, 806.0, 810.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Denise FISHER,Ginninderra,CANBERRA LIBERALS,"[2802.0, 2802.0, 2804.0, 2806.0, 2812.0, 2812.0, 2813.0, 2818.0, 2825.0, 2832.0, 2835.0, 2842.0, 2852.0, 2864.0, 2876.0, 2883.0, 2924.0, 2942.0, 2980.0, 2993.0, 3045.0, 3061.0, 3110.0, 3452.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Elizabeth KIKKERT,Ginninderra,CANBERRA LIBERALS,"[3158.0, 3158.0, 3158.0, 3160.0, 3166.0, 3168.0, 3171.0, 3175.0, 3179.0, 3190.0, 3198.0, 3206.0, 3225.0, 3241.0, 3257.0, 3263.0, 3308.0, 3323.0, 3346.0, 3348.0, 3397.0, 3409.0, 3478.0, 3928.0, 5032.0, 5106.0, 5506.0, 5587.0, 5587.0, 7875.0, 7875.0, 7875.0, 7858.0, 7858.0]"
Ignatius ROZARIO,Ginninderra,CANBERRA LIBERALS,"[1682.0, 1682.0, 1683.0, 1683.0, 1686.0, 1689.0, 1689.0, 1690.0, 1691.0, 1695.0, 1700.0, 1707.0, 1717.0, 1732.0, 1743.0, 1750.0, 1780.0, 1793.0, 1805.0, 1820.0, 1851.0, 1853.0, 1875.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Paul SWEENEY,Ginninderra,CANBERRA LIBERALS,"[3202.0, 3202.0, 3203.0, 3205.0, 3207.0, 3213.0, 3213.0, 3219.0, 3223.0, 3228.0, 3233.0, 3240.0, 3264.0, 3270.0, 3291.0, 3310.0, 3374.0, 3390.0, 3421.0, 3426.0, 3467.0, 3493.0, 3532.0, 3947.0, 4869.0, 4922.0, 5173.0, 5272.0, 5272.0, nan, nan, nan, nan, nan]"
Vicki DUNNE,Ginninderra,CANBERRA LIBERALS,"[4251.0, 4251.0, 4252.0, 4255.0, 4260.0, 4264.0, 4266.0, 4273.0, 4281.0, 4290.0, 4299.0, 4308.0, 4324.0, 4338.0, 4354.0, 4364.0, 4421.0, 4443.0, 4474.0, 4483.0, 4541.0, 4555.0, 4620.0, 5012.0, 6033.0, 6179.0, 6479.0, 6624.0, 6626.0, 8792.0, 8792.0, 7858.0, 7858.0, 7858.0]"
Richard HARRISS,Ginninderra,LIKE CANBERRA,"[222.0, 222.0, 223.0, 223.0, 224.0, 225.0, 225.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Sam HUGGINS,Ginninderra,LIKE CANBERRA,"[228.0, 228.0, 229.0, 230.0, 233.0, 235.0, 235.0, 385.0, 392.0, 398.0, 406.0, 413.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Alan TUTT,Ginninderra,CANBERRA COMMUNITY VOTERS,"[262.0, 262.0, 273.0, 298.0, 298.0, 299.0, 333.0, 334.0, 336.0, 340.0, 345.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Beth GOOCH,Ginninderra,CANBERRA COMMUNITY VOTERS,"[122.0, 122.0, 136.0, 149.0, 149.0, 149.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Geoff KETTLE,Ginninderra,CANBERRA COMMUNITY VOTERS,"[274.0, 274.0, 284.0, 307.0, 307.0, 308.0, 360.0, 362.0, 362.0, 363.0, 366.0, 536.0, 566.0, 571.0, 578.0, 585.0, 609.0, 621.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Gilbert REILLY,Ginninderra,CANBERRA COMMUNITY VOTERS,"[68.0, 68.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Mick KAYE,Ginninderra,CANBERRA COMMUNITY VOTERS,"[88.0, 88.0, 96.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Guy JAKEMAN,Ginninderra,LIBERAL DEMOCRATS,"[278.0, 278.0, 279.0, 281.0, 282.0, 283.0, 286.0, 286.0, 289.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Naomi GOWOR,Ginninderra,LIBERAL DEMOCRATS,"[309.0, 309.0, 315.0, 320.0, 322.0, 324.0, 334.0, 339.0, 344.0, 525.0, 532.0, 540.0, 550.0, 556.0, 563.0, 569.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
David EDWARDS,Ginninderra,UNGROUPED,"[217.0, 217.0, 220.0, 220.0, 227.0, 242.0, 245.0, 249.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Emmanuel EZEKIEL-HART,Ginninderra,UNGROUPED,"[342.0, 342.0, 342.0, 342.0, 342.0, 352.0, 356.0, 357.0, 381.0, 384.0, 433.0, 439.0, 445.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Kim HUYNH,Ginninderra,UNGROUPED,"[2365.0, 2365.0, 2367.0, 2370.0, 2387.0, 2409.0, 2414.0, 2416.0, 2456.0, 2464.0, 2535.0, 2554.0, 2592.0, 2763.0, 2874.0, 2879.0, 2932.0, 3006.0, 3069.0, 3082.0, 3245.0, 3267.0, 3682.0, 3727.0, 3791.0, 3900.0, nan, nan, nan, nan, nan, nan, nan, nan]"
Lea ZANGL,Ginninderra,UNGROUPED,"[136.0, 136.0, 137.0, 138.0, 138.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Vanessa JONES,Ginninderra,UNGROUPED,"[242.0, 242.0, 243.0, 243.0, 251.0, 269.0, 273.0, 274.0, 326.0, 330.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Bernie BRENNAN,Ginninderra,UNGROUPED,"[444.0, 444.0, 444.0, 446.0, 458.0, 461.0, 464.0, 464.0, 476.0, 480.0, 501.0, 506.0, 518.0, 535.0, 578.0, 588.0, 607.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Ian COOMBES,Ginninderra,UNGROUPED,"[122.0, 122.0, 123.0, 123.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Leigh WATSON,Ginninderra,UNGROUPED,"[770.0, 770.0, 772.0, 772.0, 794.0, 805.0, 808.0, 813.0, 845.0, 846.0, 914.0, 923.0, 942.0, 968.0, 1038.0, 1049.0, 1084.0, 1204.0, 1259.0, 1263.0, 1364.0, 1381.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Vijay DUBEY,Ginninderra,UNGROUPED,"[386.0, 386.0, 386.0, 388.0, 396.0, 403.0, 403.0, 404.0, 414.0, 414.0, 437.0, 444.0, 461.0, 496.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
exhausted,Ginninderra,nan,"[nan, nan, nan, 1.0, 2.0, 7.0, 9.0, 10.0, 14.0, 17.0, 23.0, 30.0, 40.0, 46.0, 63.0, 71.0, 126.0, 172.0, 420.0, 433.0, 574.0, 624.0, 946.0, 993.0, 1087.0, 1273.0, 2336.0, 2651.0, 2651.0, 3145.0, 3145.0, 3145.0, 3145.0, 5185.0]"
 Andrew BARR,Kurrajong,ACT LABOR,"[10398.0, 10398.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0, 8142.0]"
 Josh CERAMIDAS,Kurrajong,ACT LABOR,"[2249.0, 2249.0, 2616.0, 2620.0, 2620.0, 2623.0, 2623.0, 2625.0, 2625.0, 2625.0, 2625.0, 2628.0, 2628.0, 2643.0, 2643.0, 2658.0, 2658.0, 2677.0, 2677.0, 2682.0, 2682.0, 2699.0, 2699.0, 2724.0, 2724.0, 2751.0, 2751.0, 2774.0, 2774.0, 2803.0, 2805.0, 2812.0, 2812.0, 3155.0, 3225.0, 3379.0, 3381.0, 3385.0, 4122.0, 4123.0, 4296.0, 4947.0, 4961.0, 4975.0, 5012.0, 5012.0, 5013.0, 5069.0, 5069.0, 5073.0, 5086.0, 5165.0, 744.0]"
 Leah DWYER,Kurrajong,ACT LABOR,"[1895.0, 1895.0, 2320.0, 2321.0, 2321.0, 2322.0, 2322.0, 2325.0, 2325.0, 2328.0, 2328.0, 2334.0, 2334.0, 2353.0, 2353.0, 2357.0, 2357.0, 2365.0, 2365.0, 2379.0, 2379.0, 2401.0, 2401.0, 2419.0, 2419.0, 2450.0, 2452.0, 2474.0, 2475.0, 2513.0, 2519.0, 2549.0, 2549.0, 2928.0, 3014.0, 3104.0, 3105.0, 3109.0, 525.0, 521.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Rachel STEPHEN-SMITH,Kurrajong,ACT LABOR,"[2782.0, 2782.0, 3322.0, 3327.0, 3327.0, 3331.0, 3331.0, 3334.0, 3334.0, 3337.0, 3337.0, 3343.0, 3343.0, 3351.0, 3351.0, 3356.0, 3356.0, 3365.0, 3365.0, 3366.0, 3366.0, 3385.0, 3385.0, 3408.0, 3408.0, 3447.0, 3448.0, 3490.0, 3490.0, 3514.0, 3520.0, 3527.0, 3527.0, 3953.0, 4059.0, 4245.0, 4247.0, 4255.0, 5503.0, 5503.0, 5792.0, 7328.0, 7346.0, 7371.0, 7465.0, 7465.0, 7469.0, 7581.0, 7581.0, 7589.0, 7610.0, 7699.0, 11109.0]"
 Richard NIVEN,Kurrajong,ACT LABOR,"[1472.0, 1472.0, 1763.0, 1765.0, 1765.0, 1765.0, 1765.0, 1766.0, 1766.0, 1767.0, 1767.0, 1770.0, 1770.0, 1783.0, 1783.0, 1784.0, 1784.0, 1797.0, 1797.0, 1802.0, 1802.0, 1816.0, 1816.0, 1831.0, 1831.0, 1852.0, 1852.0, 1868.0, 1868.0, 1891.0, 1896.0, 1903.0, 1903.0, 296.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Hugh UPTON,Kurrajong,LIBERAL DEMOCRATS,"[268.0, 268.0, 281.0, 282.0, 282.0, 282.0, 282.0, 282.0, 282.0, 13.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Mark ELLIS,Kurrajong,LIBERAL DEMOCRATS,"[394.0, 394.0, 407.0, 409.0, 409.0, 413.0, 413.0, 414.0, 414.0, 511.0, 511.0, 513.0, 513.0, 521.0, 521.0, 522.0, 522.0, 529.0, 529.0, 848.0, 849.0, 875.0, 875.0, 911.0, 911.0, 927.0, 927.0, 14.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Michael O'ROURKE,Kurrajong,LIBERAL DEMOCRATS,"[395.0, 395.0, 405.0, 406.0, 406.0, 406.0, 406.0, 407.0, 407.0, 495.0, 495.0, 497.0, 497.0, 503.0, 503.0, 504.0, 504.0, 511.0, 511.0, 10.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Jill THOMSEN,Kurrajong,THE GREENS,"[1173.0, 1173.0, 1221.0, 1222.0, 1222.0, 1226.0, 1226.0, 1227.0, 1227.0, 1240.0, 1245.0, 1248.0, 1248.0, 1272.0, 1272.0, 1279.0, 1279.0, 1290.0, 1290.0, 1299.0, 1299.0, 1333.0, 1333.0, 1349.0, 1349.0, 1403.0, 1403.0, 1438.0, 1439.0, 54.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
