party,abb,colour,votes,percentage
ACT Labor,ALP,#d61515,101693,0.378173042
Canberra Liberals,LIB,#1467cc,90955,0.338240872
ACT Greens,GREEN,#79c400,36307,0.135017441
other,OTH,#757575,39951,0.148568646
